"","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"23556",10913923,"JA227355","04/16/2017 01:00:00 PM","0000X N LONG AVE","0810","THEFT","OVER $500","APARTMENT","false","true",1522,15,28,25,"06",1140342,1899700,2017,"04/23/2017 03:49:01 PM",41.880869318,-87.760139277,"(41.880869318, -87.760139277)"
"4207",10943387,"JA261518","05/12/2017 07:00:00 PM","111XX S ASHLAND AVE","051A","ASSAULT","AGGRAVATED: HANDGUN","STREET","false","false",2234,22,34,75,"04A",1167605,1830986,2017,"05/19/2017 03:52:48 PM",41.691766454,-87.662001505,"(41.691766454, -87.662001505)"
"32163",10901131,"JA212864","04/04/2017 10:45:00 PM","030XX W 62ND ST","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","true",823,8,15,66,"14",1157305,1863373,2017,"04/11/2017 03:57:40 PM",41.780855868,-87.698837232,"(41.780855868, -87.698837232)"
"87703",10810527,"JA109972","01/09/2017 09:19:00 PM","010XX W 79TH ST","1822","NARCOTICS","MANU/DEL:CANNABIS OVER 10 GMS","STREET","true","false",612,6,17,71,"18",1170827,1852436,2017,"02/14/2017 03:49:42 PM",41.750558881,-87.649581628,"(41.750558881, -87.649581628)"
"22755",10917752,"JA231204","04/17/2017 01:22:00 PM","052XX W NORTH AVE","1122","DECEPTIVE PRACTICE","COUNTERFEIT CHECK","OTHER","false","false",2532,25,37,25,"10",1141381,1910140,2017,"04/24/2017 03:57:11 PM",41.909498816,-87.756066167,"(41.909498816, -87.756066167)"
"75015",10832101,"JA133903","01/29/2017 04:12:00 AM","045XX W MAYPOLE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","true","true",1113,11,28,26,"08B",1146267,1901076,2017,"02/14/2017 03:49:42 PM",41.884534571,-87.738347838,"(41.884534571, -87.738347838)"
"14960",10928599,"JA243340","04/28/2017 07:42:00 PM","007XX N LAWNDALE AVE","2027","NARCOTICS","POSS: CRACK","APARTMENT","true","false",1112,11,27,23,"18",1151587,1904673,2017,"05/05/2017 03:50:30 PM",41.894302232,-87.718717316,"(41.894302232, -87.718717316)"
"84884",10815827,"JA114742","01/12/2017 04:00:00 AM","096XX S YALE AVE","0820","THEFT","$500 AND UNDER","RESIDENCE","false","false",511,5,21,49,"06",1176315,1840999,2017,"02/14/2017 03:49:42 PM",41.719052849,-87.629813689,"(41.719052849, -87.629813689)"
"78032",10827127,"JA128358","01/24/2017 03:24:00 PM","006XX E 92ND PL","1310","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","false","false",633,6,9,44,"14",1182145,1843782,2017,"02/14/2017 03:49:42 PM",41.726557022,-87.608374621,"(41.726557022, -87.608374621)"
"80977",10822789,"JA123652","01/20/2017 08:25:00 PM","078XX S HALSTED ST","1360","CRIMINAL TRESPASS","TO VEHICLE","POLICE FACILITY/VEH PARKING LOT","true","false",621,6,17,71,"26",1172325,1852947,2017,"02/14/2017 03:49:42 PM",41.751928332,-87.644077264,"(41.751928332, -87.644077264)"
"39940",10888129,"JA198084","03/23/2017 04:56:00 PM","003XX E LOWER WACKER DR","0320","ROBBERY","STRONGARM - NO WEAPON","SIDEWALK","false","false",114,1,42,32,"03",1178608,1902460,2017,"03/30/2017 03:51:05 PM",41.887655627,-87.619545777,"(41.887655627, -87.619545777)"
"8292",10940228,"JA257862","05/07/2017 06:00:00 PM","057XX S PRAIRIE AVE","5002","OTHER OFFENSE","OTHER VEHICLE OFFENSE","STREET","false","false",232,2,20,40,"26",1179019,1867064,2017,"05/15/2017 03:51:52 PM",41.79051708,-87.619117338,"(41.79051708, -87.619117338)"
"22209",10916013,"JA229453","04/18/2017 11:52:00 AM","077XX S RHODES AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","true",624,6,6,69,"14",1181245,1853836,2017,"04/25/2017 03:55:00 PM",41.754167102,-87.611362411,"(41.754167102, -87.611362411)"
"12148",10932462,"JA248333","05/02/2017 08:40:00 PM","075XX N PAULINA ST","0860","THEFT","RETAIL THEFT","RESTAURANT","true","false",2422,24,49,1,"06",1163642,1950114,2017,"05/09/2017 03:54:21 PM",42.018748975,-87.673157281,"(42.018748975, -87.673157281)"
"23177",10914817,"JA228126","04/17/2017 12:02:00 PM","076XX N BOSWORTH AVE","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","APARTMENT","false","false",2422,24,49,1,"26",1164635,1950640,2017,"04/24/2017 03:57:11 PM",42.020171252,-87.669488191,"(42.020171252, -87.669488191)"
"51345",10869726,"JA177204","03/06/2017 06:30:00 AM","056XX S SPAULDING AVE","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE","false","false",822,8,14,63,"05",1155343,1867043,2017,"03/13/2017 03:48:46 PM",41.790966386,-87.705932192,"(41.790966386, -87.705932192)"
"80963",10822806,"JA123120","01/20/2017 02:55:00 PM","061XX S INDIANA AVE","0820","THEFT","$500 AND UNDER","VEHICLE NON-COMMERCIAL","false","false",311,3,20,40,"06",1178651,1864337,2017,"02/14/2017 03:49:42 PM",41.783042307,-87.620549584,"(41.783042307, -87.620549584)"
"89810",10807289,"JA105848","01/06/2017 06:00:00 AM","049XX W AUGUSTA BLVD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","false","true",1531,15,37,25,"08B",1143181,1906196,2017,"02/14/2017 03:49:42 PM",41.898642607,-87.749552264,"(41.898642607, -87.749552264)"
"40785",10887280,"JA196084","03/22/2017 10:30:00 AM","005XX N CENTRAL AVE","0497","BATTERY","AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON","APARTMENT","false","true",1523,15,37,25,"04B",1138938,1903072,2017,"03/29/2017 03:52:53 PM",41.890148134,-87.765212765,"(41.890148134, -87.765212765)"
"2460",10944991,"JA263974","05/15/2017 12:45:00 AM","022XX W SCHOOL ST","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","false","false",1921,19,32,5,"14",1160993,1921880,2017,"05/22/2017 03:58:12 PM",41.941329375,-87.683693168,"(41.941329375, -87.683693168)"
"19152",10921445,"JA235121","04/22/2017 05:40:00 PM","045XX N CENTRAL PARK AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","false","true",1723,17,33,14,"08B",1151569,1929989,2017,"04/29/2017 03:49:38 PM",41.963771817,-87.718116283,"(41.963771817, -87.718116283)"
"85499",10815319,"JA114677","01/13/2017 02:56:00 PM","063XX S COTTAGE GROVE AVE","0520","ASSAULT","AGGRAVATED:KNIFE/CUTTING INSTR","STREET","false","false",312,3,20,42,"04A",1182653,1863118,2017,"02/14/2017 03:49:42 PM",41.779605286,-87.605914931,"(41.779605286, -87.605914931)"
